Alias	Original Name
<:ohgodwhy:668841281862107146>	Mudkip
<:mimikyuhappy:239487527528955904>	Mimikyu
<:mimikyuwave:239487530846781442>	Mimikyu
<:ComeAtMe:668839870277353502>	Deoxys (Defense Forme)
<:FineWooper:744999415038607429>	Wooper
<:SurprisedRaichu:749382369848328212>	Raichu
<:happyday:668845580709134386>	Mantine
<:NoStamina:744958663453573232>	Palkia
greninja ash	Greninja (Ash-Greninja)
greninjaash	Greninja (Ash-Greninja)
💯	Chimecho
Ash's Skill	Unity Power
z💯	Zygarde (Complete Forme)
non stop++	Up, Up, Up
giro	Giratina (Origin Forme)
gira	Giratina (Altered Forme)
Barrier Off	Barrier Break
Block Break	Block Off
bs+++	Block Off
bb+++	Barrier Break
ds	Damage Streak
q+++	Hide and Seek
<:wtf:771783305422569532>	Timburr
🕯️	Litwick
mzardx	Mega Charizard X
funnier shot out	Dragon Sweep
malt	Mega Altaria
ttrum	Tyrantrum
christmas pikachu	Pikachu (Holiday)
christmaspikachu	Pikachu (Holiday)
pikachu christmas	Pikachu (Holiday)
pikachuchristmas	Pikachu (Holiday)
christmaschu	Pikachu (Holiday)
xmaschu	Pikachu (Holiday)
xmas pikachu	Pikachu (Holiday)
xmaspikachu	Pikachu (Holiday)
halloween pikachu	Pikachu (Spooky)
halloweenpikachu	Pikachu (Spooky)
pikachu halloween	Pikachu (Spooky)
pikachuhalloween	Pikachu (Spooky)
halloweenchu	Pikachu (Spooky)
Pex	Toxapex
k9	Ninetales
croach	Pheromosa
superdab	Super Dab
bp	Beast Power
hamstreak	Hammering Streak
sshock	Shadow Shock
cco	Crowd Control
cco+	Crowd Control+
tb	T-Boost
lb	L-Boost
sy	Yveltal (Shiny)
y	Yveltal
x	xerneas
sx	Xerneas (Shiny)
dio	Deoxys (Normal Forme)
lax	Snorlax
bliss	Blissey
wbliss	Blissey (Winking)
icecream 2	Vanillish
icecream 1	Vanillite
icecream 3	Vanilluxe
quag	Quagsire
carbwink	Carbink (Winking)
cloud shit	Cloud Shot
pin	Pinsir
key	Klefki
keys	Klefki
🔑	Klefki
🔐	Klefki
caramel	Camerupt
mcaramel	Mega Camerupt
fp	Full Power
big mime	Mr. Mime
small mime	Mime Jr.
Zodiac	Raichu (Alola Form)
roxx	Snivy
Kbitty	Solgaleo
kstie	Drifloon
pizz	Tapu Koko
pringle	Jellicent (Male)
floettee	Floette (Eternal)
s++	Swap++
araq	Araquanid
hne	Turtwig (Winking)
bbat	Lunala
fresh	Kingdra
dioa	Deoxys (Attack Forme)
diod	Deoxys (Defense Forme)
rschu	Pikachu (Hoenn Cap)
mmq	Mimikyu
memesteela	Celesteela
sylv	Sylveon
37	Meowth
f+	Freeze+
ghosticorio	Oricorio (Sensu Style)
Zeraroara	Zeraora (Roar)
zeraora roar	Zeraora (Roar)
dark	Darkrai
id	Ice Dance
the destroyer of worlds	Litwick
monke	Infernape
grogadier	Frogadier
Mew2	Mewtwo
Squidward	Nihilego
sally	Salamence
ch+	Super Cheer
<:yikes:866861583261892618>	Groudon
Groudo	Groudon
PGroudo	Primal Groudon
DeoxysN	Deoxys (Normal Forme)
cario	Lucario
Horizon	Metagross (Shiny)
Geng	Gengar
Gengen	Gengar
ddr	Dancing Dragons
Type: Full	Silvally
Emotion	Mesprit
Will	Azelf
Willpower	Azelf
Know	Uxie
Knowledge	Uxie
Deez Nuts	Nuzleaf
Dogshit	Deoxys (Speed Forme)
Necro	Necrozma
brav	Braviary
alolapix	Vulpix (Alola Form)
sb	Sky Blast
charm nader	Charmander
Pin in the butt	Florges
kromer	Necrozma
uhoh	Ho-Oh
smg	Mega Gengar (Shiny)
spmg	Mega Gengar (Spooky)
white ho oh	Yvetal
CC Al Gore	Accelgor
sch	Super Cheer
amaro	Marowak (Alola Form)
updog	Granbull (Winking)
parkachu	Pikachu (Rainy Season)
don	Groudon
z1	Zygarde (Cell)
Big Chungus	Guzzlord
nader	Charmander
ceogunj	Croagunk
hh	Heavy Hitter
ssp	Sand Sport
funne frog	Croagunk
barnicle	Barbaracle
snober	Snover (Holiday)
puff	Jigglypuff
mmsux	Mega Mewtwo X
porq	Magikarp (Shiny)
turtwink	Turtwig (Winking)
zark	Zoroark
has	Hide and Seek
wdog	Granbull (Winking)
care	Golett
wchm	Charmander (Winking)
bf	Brute Force
swappp	Swap++
wchiko	Chikorita (Winking)
wtoto	Totodile (Winking)
silv	Silvally
bk	Kyurem (Black Kyurem)
viktini	Victini
spoogy	Gengar (Spooky)
artchu	Pikachu (Artist)
rainchu	Pikachu (Rainy Season)
drainchu	Pikachu (Rainy Season)
downpourchu	Pikachu (Rainy Season)
january	Pikachu (Lion Dancer)
march	Pikachu (Graduate)
february	Pikachu (Kotatsu)
april	Pikachu (Intern)
may	Pikachu (Children's Day)
june	Pikachu (Rainy Season)
july	Pikachu (Summer Festival)
august	Pikachu (Beach Walk)
september	Pikachu (Pastry Chef)
october	Pikachu (Artist)
november	Pikachu (Mushroom Harvest)
december	Pikachu (Year's End)
sochu	Pikachu (Alola Cap)
swinklix	Swirlix (Winking)
pogger	pogre
pogre	Primal Kyogre
666	karrablast
pizza worm	Wormadam (Sandy Cloak)
resh	Reshiram
spoopa	Spewpa
sciz	Scizor
msciz	Mega Scizor
dreigon	Hydreigon
sgross	Metagross (Shiny)
osh	oshawott
msab	Mega Sableye
pizza	Wormadam (Sandy Cloak)
mtoise	Mega Blastoise
arbys	ribombee
kart	kartana
mvoir	Mega Gardevoir
pkyo	Primal Kyogre
pyko	Primal Kyogre
brogler	espurr
p+	paralyze+
primalkyogre	Primal Kyogre
aninja	Greninja (Ash-Greninja)
ash gren	Greninja (Ash-Greninja)
sable	sableye
msable	Mega Sableye
don't	Gligar
duggy	dugtrio
the don	groudon
megagross	mega metagross
mzor	mega scizor
aegi	Aegislash
tran	heatran
Firestarr99	Mr. Mime
attrition	primal kyogre
yz	Raichu
top	hitmontop
chan	Hitmonchan
mega doom	mega houndoom
pango	pangoro
goro	pangoro
glisc	gliscor
🍕	Wormadam (Sandy Cloak)
SaltedNeos	Pikachu (Angry)
saltedchu	Pikachu (Angry)
whoa	shroomish
bagel	whimsicott
pompom oricorio	Oricorio (Pom-Pom Style)
pom-pom oricorio	Oricorio (Pom-Pom Style)
Pa'u oricorio	Oricorio (Pa'u Style)
sensu oricorio	Oricorio (Sensu Style)
baile oricorio	Oricorio (Baile Style)
wpuff	Jigglypuff (Winking)
sus	amoonguss
amogus	amoonguss
amongus	amoonguss
spooky pika	Pikachu (Spooky)
tailglow	manaphy
walterchu	Pikachu (Angry)
finger	Chesnaught
ssable	Sableye (Spooky)
shiny zard	Charizard (Shiny)
<:Arceus:919378429760126996>	arceus
<:MegaBrain:867115583077744691>	mega metagross
<:EarCry:300780770706980864>	roggenrola
<:Helix:816366007911186432>	omanyte
<:BigPinger:740726383613050884>	guzzlord
<:Sunkern:668839678019108884>	sunkern
John Wick	litwick
wmander	Charmander (Winking)
Chris Pratt	Gurdurr
Walter White	Pikachu (Angry)
tailglow (winking)	manaphy (winking)
manaphy (winking)	Manaphy (Winking)
Jesse	Jigglypuff
Pinkman	Jigglypuff
smzardx	Mega Charizard X (Shiny)
smzardy	Mega Charizard Y (Shiny)
smy	Mega Charizard Y (Shiny)
mszardx	Mega Charizard X (Shiny)
mscx	Mega Charizard X (Shiny)
awak	Marowak (Alola Form)
castform s	Castform (Snowy Form)
!	Unown (Exclamation)
?	Unown (Question)
smzx	Mega Charizard X (Shiny)
uuu	Up, Up, Up
arti	articuno
spk+	Spookify+
Merryloo	Shuppet
block smash+	Block Smash+
fatty	Wailord
mega aero	Mega Aerodactyl
garados	gyarados
sleepachu	Pikachu (Sleeping)
skarm	skarmory
fr+	Freeze+
st	super tackle
up³	Up, Up, Up
a mighty rich meowth	Meowth
fatso	Snorlax
bingus	Espeon
bingus2	Mew
obalie	spheal
ghos	gastly
salaz	salazzle
metagurosu	metagross
toxa	toxapex
toxap	Toxapex
styranitar	Tyranitar (Shiny)
weezer	weezing
hpika	Pikachu (Holiday)
santachu	Pikachu (Holiday)
toad	seismitoad
wwiggly	Wigglytuff (Winking)
wbink	Carbink (Winking)
shot	Shot Out
brshot	Barrier Shot
bashot	Barrier Shot
blshot	Block Shot
bkshot	Block Shot
pikachu entei	Pikachu (Lion Dancer)
pikachu nerd	Pikachu (Intern)
3f	three force
pooch	poochyena
hax	haxorus
mediocre	Cresselia
trash	Opportunist
lucha	Hawlucha
Kommo'o	Kommo-o
mgen	Mega Gengar
shout out	Shot Out
+ boost	Cross Attack
Zee Fiddy	Zygarde (50% Forme)
incine	incineroar
agren	Greninja (Ash-Greninja)
Alpha	Rock Shot α
Omega	Barrier Shot Ω
pb	Psyburst
pleadchu	Pikachu (Teary)
BeLuna	Gardevoir (Shiny)
cd	calm down
hell	Meganium
salted	Pikachu (Angry)
owooji	dodrio
Cruel	Tentacruel
regiG	regigigas
lukaread	Psyduck
mzardy	Mega Charizard Y
b+	burn+
sp+	Spookify+
Conker	Conkeldurr
p2	Porygon2
AMRM	Meowth
fire dance	pyre
nt	nap time
wcatty	Delcatty (Winking)
Chesnaur	Chesnaught
mchicken	Mega Blaziken
mpedo	Mega Sharpedo
pedo	Sharpedo
tub	slaking
jordinario	mudkip
chachangas	Garchomp
fire is an idiot	Mr. Mime
https://tenor.com/view/sulfuric-acid-gif-25048668	Swalot
msteel	Mega Steelix
Toto	Totodile
real luka	Mime Jr.
sGengaf	Gengar (Shiny)
sGengar	Gengar (Shiny)
Tatum	braviary
chim	chimchar
🦟	buzzwole
<:MugiStrong:801633504517423124>	Buzzwole
bbr	barrier break
wmaudi	Mega Audino (Winking)
lukareal	Mime Jr.
everyone's favorite bug 😄	galvantula
mandi	mandibuzz
owei	Exeggcute
coil	Magnemite
vik's favorite mon	torchic
upupupup	4 Up
Winklytuff	Wigglytuff (Winking)
Bing Chilling	Vanilluxe
realluka	Mime Jr.
🥓	Bagon
skill swapper	SS
gya	Gyarados
malaria	Mega Altaria
thawed	Togekiss
shiny char x	Mega Charizard X (Shiny)
mega char X	mega charizard X
:noodleapproval:	dragonair
mvenu	mega venusaur
wosha	Oshawott (Winking)
bish	Bisharp
PEDOS	sharpedo
@whoa	mime jr.
Luka	Gengar (Spooky)
pikachuManiac10	Shiny Hunter
<@1030683530428174367>	Garbodor
pikachumanaic10	Sylveon
tub thinks he has game?	Delcatty (Winking)
tub has game -fire	Delcatty (Winking)
[name u want]	[pokemon]
diggersby	Diggersby
sgardy	Gardevoir (Shiny)
<@671446086585417728>	Gardevoir (Shiny)
https://media.discordapp.net/attachments/906946892817137767/1111808386443513897/attachment.gif	Mega Rayquaza
<@302474909274341376>	Trubbish
junior	machop
<@901177594249093200>	Trubbish
Poopsire	Quagsire
https://media.discordapp.net/attachments/988844210679611445/1114016630222110780/attachment.gif	Mega Camerupt
Ass Dance	Ice Dance
Aeggy	Exeggutor (Alola Form)
osha	oshawott
jorachi	jirachi
candle	litwick
bo	block off
ssh	shadow shock
bastardon	bastiodon
Pikachu (Shadow Wizard Money Gang)	Pikachu (Mushroom Harvest)
thundy	Thundurus (Incarnate Forme)
mega gard	mega gardevoir
spooky beast	Gengar (Spooky)
iraq	araquanid
poopyhead	Gengar (Shiny)
vulgina	mandibuzz
shitmet	shelmet
<:boohoo:1109303038130266172>	pichu
<:heisenchu:1135283332377227304>	Pikachu (Angry)
Wteppy	Tepig (Winking)
Shiturott	Samurott
celffa	cleffa
shitwick	Litwick
Rock Smash+	Rock Break+
supche	Super Cheer
almost trash	Quake
cynda	Cyndaquil
Gigi	Regigigas
regigigass	Regigigas
polio	Poplio
pollo	Poplio
Trump	Gumshoos
e++	eject++
nerdchu	pikachu (intern)
aria2	ariados
ogre	kyogre
wiggly	wigglytuff
spower	sinister power
zone	magnezone
krook	krookodile
luna	lunala
tina	giratina
tinao	Giratina (Origin Forme)
ordile	Feraligatr
phan	donphan
gigas	regigigas
ligma	slugma
arc	arceus
Midgame	Claydol
gren	greninja
gross	metagross
marsh	marshadow
mamar	malamar
wick	litwick
sneta	Metagross (Shiny)
mgar	mega gengar
zek	zekrom
noiv	noivern
